x(t-1), y(t-1), x(t), y(t), theta1(t-1), theta2(t-1), theta1(t), theta2(t), training
-4,7.152557E-07,-3.984779,0.3486238,0,180,10,180,true
-3.984779,0.3486238,-3.939231,0.6945934,10,180,15,180,true
-3.939231,0.6945934,-3.863704,1.035277,15,180,15,180,true
-3.863704,1.035277,-3.758771,1.368082,15,180,20,180,true
-3.758771,1.368082,-3.625232,1.690474,20,180,25,180,true
-3.625232,1.690474,-3.464102,2.000001,25,180,35,180,true
-3.464102,2.000001,-3.276608,2.294307,35,180,35,180,true
-3.276608,2.294307,-3.064178,2.571151,35,180,45,180,true
-3.064178,2.571151,-2.830781,2.826072,45,180,45,180,true
-2.830781,2.826072,-2.575407,3.060602,45,180,50,180,true
-2.575407,3.060602,-2.299958,3.272644,50,180,55,180,true
-2.299958,3.272644,-2.006562,3.460306,55,180,60,180,true
-2.006562,3.460306,-1.697547,3.621925,60,180,65,180,true
-1.697547,3.621925,-1.375417,3.756093,65,180,70,180,true
-1.375417,3.756093,-1.042819,3.861675,70,180,75,180,true
-1.042819,3.861675,-1.52479,3.660933,75,180,75,180,true
-1.52479,3.660933,-1.938382,3.342288,75,180,75,165,true
-1.938382,3.342288,-2.25541,2.927454,75,165,75,135,true
-2.25541,2.927454,-2.454269,2.444703,75,135,75,135,true
-2.454269,2.444703,-2.521406,1.926933,75,135,75,120,true
-2.521406,1.926933,-2.452247,1.409429,75,120,75,105,true
-2.452247,1.409429,-2.565756,1.190336,75,105,70,105,true
-2.565756,1.190336,-2.657852,0.9673804,70,105,70,105,true
-2.657852,0.9673804,-2.814852,1.465321,70,105,70,120,true
-2.814852,1.465321,-2.837626,1.986929,70,120,70,135,true
-2.837626,1.986929,-2.724621,2.496657,70,135,70,150,true
-2.724621,2.496657,-2.48354,2.95977,70,150,70,165,true
-2.48354,2.95977,-2.130811,3.344706,70,165,70,180,true
-2.130811,3.344706,-1.690472,3.625232,70,180,70,195,true
-1.690472,3.625232,-1.192531,3.782232,70,195,70,210,true
-1.192531,3.782232,-0.6709245,3.805006,70,210,70,210,true
-0.6709245,3.805006,-0.9997917,3.732108,70,210,65,210,true
-0.9997917,3.732108,-1.321262,3.630768,65,210,60,210,true
-1.321262,3.630768,-1.632672,3.501798,60,210,55,210,true
-1.632672,3.501798,-2.130621,3.344826,55,210,55,195,true
-2.130621,3.344826,-2.570976,3.064325,55,195,55,180,true
-2.570976,3.064325,-2.923727,2.679409,55,180,55,180,true
-2.923727,2.679409,-2.679241,2.923881,55,180,55,180,true
-2.679241,2.923881,-2.294305,3.27661,55,180,55,195,true
-2.294305,3.27661,-1.831192,3.51769,55,195,55,210,true
-1.831192,3.51769,-1.321465,3.630694,55,210,55,210,true
-1.321465,3.630694,-1.63229,3.501977,55,210,55,210,true
-1.63229,3.501977,-1.931109,3.346495,55,210,50,210,true
-1.931109,3.346495,-2.215426,3.165454,50,210,45,210,true
-2.215426,3.165454,-2.482889,2.960316,45,210,40,210,true
-2.482889,2.960316,-2.923289,2.679887,40,210,40,195,true
-2.923289,2.679887,-3.276103,2.295028,40,195,40,180,true
-3.276103,2.295028,-3.517286,1.831969,40,180,40,165,true
-3.517286,1.831969,-3.630403,1.322265,40,165,40,150,true
-3.630403,1.322265,-3.607743,0.8006516,40,150,40,135,true
-3.607743,0.8006516,-3.450853,0.3026764,40,135,40,120,true
-3.450853,0.3026764,-3.170424,-0.137723,40,120,40,105,true
-3.170424,-0.137723,-3.146699,-0.4108973,40,105,35,105,true
-3.146699,-0.4108973,-3.099294,-0.6818569,35,105,30,105,true
-3.099294,-0.6818569,-3.028392,-0.9483643,30,105,25,105,true
-3.028392,-0.9483643,-2.934418,-1.2082,25,105,20,105,true
-2.934418,-1.2082,-2.818034,-1.459192,20,105,15,105,true
-2.818034,-1.459192,-2.680135,-1.699245,15,105,10,105,true
-2.680135,-1.699245,-2.521833,-1.926373,10,105,5,105,true
-2.521833,-1.926373,-2.679854,-1.699687,5,105,10,105,true
-2.679854,-1.699687,-2.817716,-1.459805,10,105,15,105,true
-2.817716,-1.459805,-2.934225,-1.208668,15,105,20,105,true
-2.934225,-1.208668,-3.026539,-0.9542634,20,105,25,105,true
-3.026539,-0.9542634,-3.411474,-0.6015341,25,105,25,135,true
-3.411474,-0.6015341,-3.692002,-0.1611953,25,135,25,135,true
-3.692002,-0.1611953,-3.849002,0.3367448,25,135,25,165,true
-3.849002,0.3367448,-3.871775,0.8583527,25,165,25,180,true
-3.871775,0.8583527,-3.758771,1.368082,25,180,25,180,true
-3.758771,1.368082,-3.51769,1.831194,25,180,25,195,true
-3.51769,1.831194,-3.16496,2.21613,25,195,25,210,true
-3.16496,2.21613,-2.724622,2.496657,25,210,25,225,true
-2.724622,2.496657,-2.226681,2.653657,25,225,25,240,true
-2.226681,2.653657,-1.705073,2.67643,25,240,25,270,true
-1.705073,2.67643,-1.195345,2.563426,25,270,25,270,true
-1.195345,2.563426,-0.9695911,2.657047,25,270,25,270,true
-0.9695911,2.657047,-0.7358474,2.731031,25,270,30,270,true
-0.7358474,2.731031,-0.4959583,2.784606,30,270,35,270,true
-0.4959583,2.784606,-0.2518533,2.817192,35,270,40,270,true
-0.2518533,2.817192,-0.00552249,2.828422,40,270,45,270,true
-0.00552249,2.828422,0.2410101,2.818141,45,270,50,270,true
0.2410101,2.818141,0.485711,2.786412,50,270,55,270,true
0.485711,2.786412,0.1322313,3.170658,55,270,55,255,true
0.1322313,3.170658,0.4075356,3.147137,55,255,60,255,true
0.4075356,3.147137,0.6800982,3.099681,60,255,65,255,true
0.6800982,3.099681,0.9476634,3.028612,65,255,70,255,true
0.9476634,3.028612,1.20802,2.934492,70,255,75,255,true
1.20802,2.934492,1.459181,2.818039,75,255,80,255,true
1.459181,2.818039,1.177695,3.257767,80,255,80,240,true
1.177695,3.257767,0.7919906,3.609655,80,240,80,225,true
0.7919906,3.609655,0.3283551,3.849726,80,225,80,225,true
0.3283551,3.849726,0.6626311,3.806459,80,225,85,225,true
