_token,_category,_sequenceID,_reset,ID
string,list,int,int,string
,C,S,R,
Badger,0,0,1,0
eats,0,0,0,0
Cabbage,0,0,0,0
Cabbage,1,1,1,1
eats,1,1,0,1
Badger,1,1,0,1
Ape,0,2,1,2
eats,0,2,0,2
Beet,0,2,0,2
Beet,1,3,1,3
eats,1,3,0,3
Ape,1,3,0,3
Badger,0,4,1,4
eats,0,4,0,4
Borage,0,4,0,4
Borage,1,5,1,5
eats,1,5,0,5
Badger,1,5,0,5
Baboon,0,6,1,6
eats,0,6,0,6
Borage,0,6,0,6
Borage,1,7,1,7
eats,1,7,0,7
Baboon,1,7,0,7
Donkey,0,8,1,8
eats,0,8,0,8
Cabbage,0,8,0,8
Cabbage,1,9,1,9
eats,1,9,0,9
Donkey,1,9,0,9
Badger,0,10,1,10
eats,0,10,0,10
Cabbage,0,10,0,10
Cabbage,1,11,1,11
eats,1,11,0,11
Badger,1,11,0,11
Badger,0,12,1,12
eats,0,12,0,12
Arugula,0,12,0,12
Arugula,1,13,1,13
eats,1,13,0,13
Badger,1,13,0,13
Donkey,0,14,1,14
eats,0,14,0,14
Borage,0,14,0,14
Borage,1,15,1,15
eats,1,15,0,15
Donkey,1,15,0,15
Donkey,0,16,1,16
eats,0,16,0,16
Borage,0,16,0,16
Borage,1,17,1,17
eats,1,17,0,17
Donkey,1,17,0,17
Ape,0,18,1,18
eats,0,18,0,18
Beet,0,18,0,18
Beet,1,19,1,19
eats,1,19,0,19
Ape,1,19,0,19
Ape,0,20,1,20
eats,0,20,0,20
Cabbage,0,20,0,20
Cabbage,1,21,1,21
eats,1,21,0,21
Ape,1,21,0,21
Ape,0,22,1,22
eats,0,22,0,22
Cabbage,0,22,0,22
Cabbage,1,23,1,23
eats,1,23,0,23
Ape,1,23,0,23
Ape,0,24,1,24
eats,0,24,0,24
Cabbage,0,24,0,24
Cabbage,1,25,1,25
eats,1,25,0,25
Ape,1,25,0,25
Donkey,0,26,1,26
eats,0,26,0,26
Arugula,0,26,0,26
Arugula,1,27,1,27
eats,1,27,0,27
Donkey,1,27,0,27
Ape,0,28,1,28
eats,0,28,0,28
Arugula,0,28,0,28
Arugula,1,29,1,29
eats,1,29,0,29
Ape,1,29,0,29
Ape,0,30,1,30
eats,0,30,0,30
Cabbage,0,30,0,30
Cabbage,1,31,1,31
eats,1,31,0,31
Ape,1,31,0,31
Donkey,0,32,1,32
eats,0,32,0,32
Cabbage,0,32,0,32
Cabbage,1,33,1,33
eats,1,33,0,33
Donkey,1,33,0,33
Ape,0,34,1,34
eats,0,34,0,34
Beet,0,34,0,34
Beet,1,35,1,35
eats,1,35,0,35
Ape,1,35,0,35
Baboon,0,36,1,36
eats,0,36,0,36
Borage,0,36,0,36
Borage,1,37,1,37
eats,1,37,0,37
Baboon,1,37,0,37
Donkey,0,38,1,38
eats,0,38,0,38
Borage,0,38,0,38
Borage,1,39,1,39
eats,1,39,0,39
Donkey,1,39,0,39
Baboon,0,40,1,40
eats,0,40,0,40
Borage,0,40,0,40
Borage,1,41,1,41
eats,1,41,0,41
Baboon,1,41,0,41
Antelope,0,42,1,42
eats,0,42,0,42
Arugula,0,42,0,42
Arugula,1,43,1,43
eats,1,43,0,43
Antelope,1,43,0,43
Donkey,0,44,1,44
eats,0,44,0,44
Amaranth,0,44,0,44
Amaranth,1,45,1,45
eats,1,45,0,45
Donkey,1,45,0,45
Antelope,0,46,1,46
eats,0,46,0,46
Arugula,0,46,0,46
Arugula,1,47,1,47
eats,1,47,0,47
Antelope,1,47,0,47
Badger,0,48,1,48
eats,0,48,0,48
Beet,0,48,0,48
Beet,1,49,1,49
eats,1,49,0,49
Badger,1,49,0,49
Donkey,0,50,1,50
eats,0,50,0,50
Amaranth,0,50,0,50
Amaranth,1,51,1,51
eats,1,51,0,51
Donkey,1,51,0,51
Ape,0,52,1,52
eats,0,52,0,52
Beet,0,52,0,52
Beet,1,53,1,53
eats,1,53,0,53
Ape,1,53,0,53
Donkey,0,54,1,54
eats,0,54,0,54
Amaranth,0,54,0,54
Amaranth,1,55,1,55
eats,1,55,0,55
Donkey,1,55,0,55
Donkey,0,56,1,56
eats,0,56,0,56
Beet,0,56,0,56
Beet,1,57,1,57
eats,1,57,0,57
Donkey,1,57,0,57
Donkey,0,58,1,58
eats,0,58,0,58
Borage,0,58,0,58
Borage,1,59,1,59
eats,1,59,0,59
Donkey,1,59,0,59
Badger,0,60,1,60
eats,0,60,0,60
Borage,0,60,0,60
Borage,1,61,1,61
eats,1,61,0,61
Badger,1,61,0,61
Antelope,0,62,1,62
eats,0,62,0,62
Arugula,0,62,0,62
Arugula,1,63,1,63
eats,1,63,0,63
Antelope,1,63,0,63
Baboon,0,64,1,64
eats,0,64,0,64
Borage,0,64,0,64
Borage,1,65,1,65
eats,1,65,0,65
Baboon,1,65,0,65
Baboon,0,66,1,66
eats,0,66,0,66
Borage,0,66,0,66
Borage,1,67,1,67
eats,1,67,0,67
Baboon,1,67,0,67
Donkey,0,68,1,68
eats,0,68,0,68
Cabbage,0,68,0,68
Cabbage,1,69,1,69
eats,1,69,0,69
