ID,Sample
0_0,"I admit, the great majority of films released before say 1933 are just not for me. Of the dozen or so ""major"" silents I have viewed, one I loved (The Crowd), and two were very good (The Last Command and City Lights, that latter Chaplin circa 1931).<br /><br />So I was apprehensive about this one, and humor is often difficult to appreciate (uh, enjoy) decades later. I did like the lead actors, but thought little of the film.<br /><br />One intriguing sequence. Early on, the guys are supposed to get ""de-loused"" and for about three minutes, fully dressed, do some schtick. In the background, perhaps three dozen men pass by, all naked, white and black (WWI ?), and for most, their butts, part or full backside, are shown. Was this an early variation of beefcake courtesy of Howard Hughes?"
10045_0,"I haven't laughed this hard watching a film in years! First of all the very theme is eternal life and how to get it.Sounds promising, doesn't it?Meryl Streep and Goldie Hawn in conflict in which they forget the cause,and the conflict becomes it's own purpose.Until... Zemeckis gives us a film with,some might say,predictable plot.But isn't this a satire of the whole scheme? It's filled with smart little jokes and details.Every scene is very precisely built and planed.There was interesting use of longer shots with rich(er) mise-en-scene, and tension built by great editing. In her role Meryl Streep gave us so many wonderful,depicting and amusing little things that she does.Detailes,detailes!Goldie was also very funny,and Bruce was certainly unusual(but in a good way). This film could be used as great lesson in film directing.As a satire it touches a great number of Hollywood film clichés.But isn't learning how to film those clichés basis for making something unique? Anyway,great thanx to the creators of this film!"
10090_0,"This was a ""real"" vampire movie. I liked it when I first saw it in '79 and I like it more now. Lynch captures a vampire that is cultured, charismatic, vulnerable, and still human. He collects rare art! As the film progresses we learn this vampire is also evil, materialistic, vengeful, exploitative, selfish, and classically Evil with a capital ""E"". This movie thoughtfully updated elements of Stoker's conceptualization of the vampire without losing those classical elements that makes it an interesting tale. Acting is excellent and casting great. I had hoped this would be made into a series... but, oh well. A few producers of modern vampire movies could learn something by watching this. <br /><br />My video copy is coming apart - so when is this thing coming on on DVD already?"
10135_0,"In addition to being a great story about a little-depicted part of North America's history, Black Robe portrays with stark effect the wide gap in the way that white Europeans thought and acted compared to the way that native Americans thought and acted in the 17th Century."
10180_0,"Like other reviewers, I was going to avoid this movie within the first few minutes because of its austere quality. Black and white, gritty, bare-boned filming and direction looking at awkward people in a strangely quiet way. <br /><br />A scraping by man that is one step away from Adam in implements scratching out a living suddenly comes by an ailing pregnant woman who he befriends and keeps alive by stretching the tight shoestring he's already living on, taut to its limit.<br /><br />But then, as the story unfolds, you realize it HAD to be shot in black and white; it had to have that raw, gritty quality. That's the nature of the story. That's the power of it.<br /><br />I agree, too, with other reviewers that if (as some of us have been theorizing) the woman and her child were written to be Black, that would bring several new levels of poignancy to every aspect of the film. And you can read that in as you watch and appreciate those nuances for yourself though they're not spelled out in the film. <br /><br />I also had the strange thought while watching of how great it would have been to have Johnny and June Carter Cash playing the leads, since this film was made in their heyday. But that's just me.<br /><br />Yet even as it is, this is a rare piece of coal that under the pressure of tough times shows itself to be a diamond. Not to be missed."
10225_0,"Nice movie, so funny. Recommended. (You may need to learn Korean culture to have the jokes in full effect)<br /><br />My wife is Korean and she is explaining why the scene is so funny.<br /><br />Get Korean friend and watch it together.<br /><br />One Two Three Five Six Seven Eight Nine Ten<br /><br />Cheers, SV<br /><br />By submitting this comment you are agreeing to the terms laid out in our Copyright Statement. Your submission must be your own original work. Your comments will normally be posted on the site within 2-3 business days. Comments that do not meet the guidelines will not be posted. Please write in English only. HTML or boards mark-up is not supported though paragraph breaks will be inserted if you leave a blank line between paragraph."
10270_0,"I am Turkish and I watch the show every week and have every single episode recorded,great show,i recommend every 1 to watch it,it is really amazing that we are so close to Greek friends,we must be brothers and sisters same culture living in different countries,I love grandfather of nazli and grandmother of Niko,every Buddy fits in to their role and the show is acted perfectly,i would say it is the only show i watch actually,I can give copy of all the episodes to any one if requested(in Canada,Toronto area only) I salute all of Greek friends.I love you people all except Turkish and Greek politicians,they are leading us to wrong way.Take care all."
10315_0,"Thumb Tripping is a little-known hippie road movie made in 1972. It's little-known for a reason. The reason is that it is somewhat poor.... and those who saw it (of which there were few) did not build for it a word-of-mouth reputation of any note. There are a few cast members in it who went on to bigger and better things, notably Meg Foster and Bruce Dern; also the director Quentin Masters would later score a sexploitation hit with the Joan Collins movie The Stud. However, in this film there is very little of interest other than a freewheeling narrative that offers occasional insights into the permissive and casual attitudes of the youth of the late '60s/early '70s. In most departments, Thumb Tripping is a tedious, dated, muddled and totally forgettable misfire.<br /><br />Young hitch-hikers Gary (Michael Burns) and Chay (Meg Foster) make their way around California together, hitching rides when they can and spending evenings under the stars. Gary is a kid from a decent background and a home in Connecticut who has chosen to postpone going to college in order to ""discover himself""; Chay is a more freewheeling type who just wants to experience the here-and-now while she is still young. During their wanderings, Gary and Chay come across various weird types and sometimes find themselves caught up in bizarre adventures. They're picked up by road-racers Smitty (Bruce Dern) and Simp (Larry Hankin) who threatens them with a switchblade; later they hitch a lift from an embittered woman (Joyce Van Patten) who has hated hippies since her daughter ran away to become one; another time Chay finds herself being ogled by a middle-aged trucker (Mike Conrad); and in their final ""thumb trip"", they find themselves travelling with dysfunctional husband-and-wife alcoholics (Mariana Hill and Burke Burns).<br /><br />The episodes come and go without leaving much of an impression, partly due to the fuzzy soundtrack (which renders much of the dialogue inaudible) and partly because of the thoroughly uninteresting main characters. Michael Burns gives a non-performance that may one day be recommended by doctors as a cure for insomnia, while Foster fares little better as a dislikable female lead whose character seems to think she's free and happy but in reality is just a self-centred slut. The gallery of background characters are far more fascinating than these two, but they come and go too quickly to make much of an impact. The script (by Don Mitchell, from his own novel) has no idea where it's going and merely ambles along from one pointless situation to another. Where Easy Rider was similarly plot less and freewheeling, at least it had interesting characters and situations, and charismatic performers. Thumb Tripping has none of that and is a very tough film to endure from low-key beginning to unsatisfying end."
10360_0,"Bert Hughes is home alone in his Manhattan apartment,trying to work out a major change in his trust company when a noisy rat starts scratching around his periphery and he becomes obsessed with exterminating it.By the time Hughes is through,his whole apartment is nearly exterminated-and his friends are keeping their distance due to his rat-mania.Pretty suspenseful and effective rat invasion flick with terrific central performance of Peter Weller.Several memorable moments were the diner table discussion turned to rats and everyone felt uncomfortable;and the end battle with the rat.There are also some very effective jump scenes that were finding the cat on top of the refrigerator and the toilet scene.Overall,""Of Unknown Origin"" is a fine animal attack film that deserves rediscovery.8 out of 10."
10405_0,"A simple movie but executed with style and a flair of direction has exalted this to a cult status along with the Alien. Predator is infused with elements of sci-fi, horror, and action adventure and primarily is the sole reason why it is still a beloved among hard-core action fans. The inclusion of mega star Arnold Schwarzenegger and vivid supporting casts definitely adds to that.<br /><br />The best thing about this film is that there is hardly a single dead moment in it. Every scene builds on the previous one and raises the stakes; keeping the pace of the film on its momentum. The tension is initiated there among the characters once they discover the wreckage of the crash and the gruesome sight of the dead body in the tree. The fear of the unknown has begun and sustains throughout their hunt.<br /><br />Not many films can capture such a rich tapestry of action, suspense, comedy and just plain old popcorn fun in one film. The special effects at that time were top notch and well deserved of the Oscar nomination and even today it still has the contemporary look and feel. The atmosphere of the film sets it apart from the other action oriented by being unpretentious and accepting at face value that this is purely action driven.<br /><br />The ultimate display of creativeness of vivid imagination from the effects crew is the Predator when revealed in full glory. A sight to behold! The imagery has now become an instant classic in similar veins that did for the Alien creature.<br /><br />Downright, the Predator is a thriller that entertains while being slick and fun with rousing tension."
