timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435295138076,0.75,1.8125,0.1875,1.9704853463043057,0.75,-1.8125,0.1875
1435295138272,0.125,0.6875,-0.25,0.7421463804398698,0.125,-0.6875,-0.25
1435295138470,-1.9375,0.8125,-0.4375,2.1460355891736747,-1.9375,-0.8125,-0.4375
1435295138669,0.6875,3.375,0.3125,3.4584588330642307,0.6875,-3.375,0.3125
1435295138868,0.6875,1.875,0.3125,2.0213702035995285,0.6875,-1.875,0.3125
1435295139067,0.125,0.5625,-0.8125,0.9960860906568267,0.125,-0.5625,-0.8125
1435295139265,-2.875,0.875,-0.5,3.0465144017384853,-2.875,-0.875,-0.5
1435295139464,-0.4375,2.4375,0.25,2.4890384689674847,-0.4375,-2.4375,0.25
1435295139663,0.9375,1.75,0.6875,2.1009670392464512,0.9375,-1.75,0.6875
1435295139862,0,-0.75,0.5625,0.9375,0,0.75,0.5625
1435295140060,-2.6875,2.6875,-0.0625,3.8012127998837424,-2.6875,-2.6875,-0.0625
1435295140259,-1.0625,1.625,0.3125,1.9665165903190343,-1.0625,-1.625,0.3125
1435295140458,0.1875,1.75,0,1.7600159800410904,0.1875,-1.75,0
1435295140656,-0.6875,-1.25,-0.6875,1.583607432414991,-0.6875,1.25,-0.6875
1435295141255,-1.1875,1.5,-1.125,2.219410113070588,-1.1875,-1.5,-1.125
1435295141255,-0.9375,0.1875,0.3125,1.0058423087144426,-0.9375,-0.1875,0.3125
1435295141256,-0.75,1,0.125,1.2562344526401112,-0.75,-1,0.125
1435295141452,0.25,0.5,0.0625,0.5625,0.25,-0.5,0.0625
1435295141650,-0.25,1.25,3.8125,4.0199696827215,-0.25,-1.25,3.8125
1435295141850,6.5,0.875,0.6875,6.594564523150865,6.5,-0.875,0.6875
1435295142047,1.0625,1.4375,0.625,1.8936571759428895,1.0625,-1.4375,0.625
1435295142246,0.5,1.6875,-0.0625,1.7611253504506714,0.5,-1.6875,-0.0625
